LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0049_001,S0049,S0049_002,,在学院的卫队结束了突袭后，一车车的野兽人被用囚车运回了城内，其中包含了不少野兽人的小孩老人与女人。,0,false,,,,,,学院背景,,
S0049_002,S0049,S0049_003,,在确认了本次事件结束后，王女离开了指挥所，而黑帮则忙着回收野兽人留下的物资，教会则彻底投入了清缴邪教的任务之中。,0,false,,,,,,学院背景,,
S0049_003,S0049,S0049_004,,此刻的学院内部却在俘虏的处理上出现了严重的分歧。,0,false,,,,,,学院背景,,
S0049_004,S0049,S0049_005,院长正常,“虽然是一群没有开化的野兽，但好歹也有基本的智力。”,0,false,,,,,,学院背景,,
S0049_005,S0049,S0049_006,院长正常,“稍微加以训练，完全可以让他们去挖矿，开荒，甚至是去填线。”,0,false,,,,,,学院背景,,
S0049_006,S0049,S0049_007,院长辩论,“放着他们不用完全就是物资浪费，而浪费就是犯罪，我不允许这种事情发生。”,0,false,,,,,,学院背景,,
S0049_007,S0049,S0049_008,卫队长辩论,“不，我绝对不同意，这些家伙有一个算一个全部都是不稳定要素。”,1,false,,,,,,学院背景,,
S0049_008,S0049,S0049_009,卫队长正常,“让他们去干活我们还需要分出人手去监督他们，而且看到他们的眼神了吗，那是仇恨。”,1,false,,,,,,学院背景,,
S0049_009,S0049,S0049_010,卫队长生气,“想要彻底消除仇恨就必须根除，必须全部杀光，一个不留，只要有一个剩下，那就是无休止的祸害！”,1,false,,,,,,学院背景,,
S0049_010,S0049,S0049_011|S0049_013,骷髅思考,“我觉得同意院长的说法。”|“我觉得卫队长说的没错。”,0,true,,,,,,学院背景,,
S0049_011,S0049,S0049_012,院长正常,“明智的决定，做好你的工作，卫队长，把你冲动的小性子压下去。”,1,false,,,,,,学院背景,,
S0049_012,S0049,END,卫队长正常,“……是，院长大人，我会继续押送，等待着指令。”,0,false,,,,,,学院背景,,
S0049_013,S0049,S0049_014,卫队长正常,“这是理智的选择，如你所见，院长大人，这些危险是不被允许存在的——我们要为王都，为王国负责。”,1,false,,,,,,学院背景,,
S0049_014,S0049,END,院长正常,“仇恨是杀不完的……带下去吧，既然又了命令就去执行。”,0,false,,,,,,学院背景,,
